Semester,Date,Day,Time,Department,Subject,Subject Code,
3rd,20-03-2024,বৃহস্পতিবার,10:30 AM - 11:30 AM,ইলেকট্রনিক্স টেকনোলজি,ডিজিটাল ইলেকট্রনিক্স-১,26831,
3rd,20-03-2024,বৃহস্পতিবার,10:30 AM - 11:30 AM,কম্পিউটারসাইন্স এন্ড টেকনোলজি,ডিজিটাল ইলেকট্রনিক্স-১,26831,
3rd,20-03-2024,বৃহস্পতিবার,10:30 AM - 11:30 AM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,মেডিক্যাল ট্রান্সডিউসার এন্ড সেন্সরস,28631,
3rd,22-03-2024,শনিবার,10:30 AM - 11:30 AM,সিভিল টেকনোলজি,কনস্ট্রাকশন প্রসেস -১,26433,
3rd,22-03-2024,শনিবার,10:30 AM - 11:30 AM,পাওয়ার টেকনোলজি,ইঞ্জিনিয়ারিং থার্মোডায়নামিক্স,27131,
3rd,22-03-2024,শনিবার,10:30 AM - 11:30 AM,মেকানিক্যাল টেকনোলজি,সোস্যাল সায়েন্স,25811,
3rd,22-03-2024,শনিবার,10:30 AM - 11:30 AM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,সোস্যাল সায়েন্স,25811,
1st,16-03-2024,রবিবার,9:00 AM - 10:00 AM,সিভিল টেকনোলজি,ম্যাথমেটিক্স-১,25911,
1st,16-03-2024,রবিবার,9:00 AM - 10:00 AM,ইলেকট্রিক্যাল টেকনোলজি,ম্যাথমেটিক্স-১,25911,
1st,16-03-2024,রবিবার,9:00 AM - 10:00 AM,মেকানিক্যাল টেকনোলজি,ম্যাথমেটিক্স-১,25911,
1st,16-03-2024,রবিবার,9:00 AM - 10:00 AM,পাওয়ার টেকনোলজি,ম্যাথমেটিক্স-১,25911,
1st,16-03-2024,রবিবার,9:00 AM - 10:00 AM,ইলেকট্রনিক্স টেকনোলজি,ম্যাথমেটিক্স-১,25911,
1st,16-03-2024,রবিবার,9:00 AM - 10:00 AM,কম্পিউটারসাইন্স এন্ড টেকনোলজি,ম্যাথমেটিক্স-১,25911,
1st,16-03-2024,রবিবার,9:00 AM - 10:00 AM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,ম্যাথমেটিক্স-১,25911,
1st,17-03-2024,সোমবার,9:00 AM - 10:00 AM,সিভিল টেকনোলজি,বাংলা- ১,25711,
1st,17-03-2024,সোমবার,9:00 AM - 10:00 AM,ইলেকট্রিক্যাল টেকনোলজি,বাংলা- ১,25711,
1st,17-03-2024,সোমবার,9:00 AM - 10:00 AM,মেকানিক্যাল টেকনোলজি,বাংলা- ১,25711,
1st,17-03-2024,সোমবার,9:00 AM - 10:00 AM,পাওয়ার টেকনোলজি,বাংলা- ১,25711,
1st,17-03-2024,সোমবার,9:00 AM - 10:00 AM,ইলেকট্রনিক্স টেকনোলজি,বাংলা- ১,25711,
1st,17-03-2024,সোমবার,9:00 AM - 10:00 AM,কম্পিউটারসাইন্স এন্ড টেকনোলজি,বাংলা- ১,25711,
1st,17-03-2024,সোমবার,9:00 AM - 10:00 AM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,বাংলা- ১,25711,
1st,18-03-2024,মঙ্গলবার,9:00 AM - 10:00 AM,সিভিল টেকনোলজি,বেসিক ইলেকট্রিসিটি,26711,
1st,18-03-2024,মঙ্গলবার,9:00 AM - 10:00 AM,ইলেকট্রিক্যাল টেকনোলজি,বেসিক ইলেকট্রিসিটি,26711,
1st,18-03-2024,মঙ্গলবার,9:00 AM - 10:00 AM,মেকানিক্যাল টেকনোলজি,মেশিনশপ প্রাকটিস-১,27012,
1st,18-03-2024,মঙ্গলবার,9:00 AM - 10:00 AM,পাওয়ার টেকনোলজি,পাওয়ার ইঞ্জিনিয়ারিং ফান্ডামেন্টাল,27111,
1st,18-03-2024,মঙ্গলবার,9:00 AM - 10:00 AM,ইলেকট্রনিক্স টেকনোলজি,বেসিক ইলেকট্রিসিটি,26711,
1st,18-03-2024,মঙ্গলবার,9:00 AM - 10:00 AM,কম্পিউটারসাইন্স এন্ড টেকনোলজি,বেসিক ইলেকট্রিসিটি,26711,
1st,18-03-2024,মঙ্গলবার,9:00 AM - 10:00 AM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,বেসিক ইলেকট্রিসিটি,26711,
1st,19-03-2024,বুধবার,9:00 AM - 10:00 AM,সিভিল টেকনোলজি,কেমিস্ট্রি,25913,
1st,19-03-2024,বুধবার,9:00 AM - 10:00 AM,ইলেকট্রিক্যাল টেকনোলজি,ফিজিক্স-১,25912,
1st,19-03-2024,বুধবার,9:00 AM - 10:00 AM,মেকানিক্যাল টেকনোলজি,ফিজিক্স-১,25912,
1st,19-03-2024,বুধবার,9:00 AM - 10:00 AM,পাওয়ার টেকনোলজি,ফিজিক্স-১,25912,
1st,19-03-2024,বুধবার,9:00 AM - 10:00 AM,ইলেকট্রনিক্স টেকনোলজি,ফিজিক্স-১,25912,
1st,19-03-2024,বুধবার,9:00 AM - 10:00 AM,কম্পিউটারসাইন্স এন্ড টেকনোলজি,ফিজিক্স-১,25912,
1st,19-03-2024,বুধবার,9:00 AM - 10:00 AM,ইলেকট্রো-মেডিক্যাল টেকনোলজি,ফিজিক্স-১,25912,
1st,20-03-2024,বৃহস্পতিবার,9:00 AM - 10:00 AM,সিভিল টেকনোলজি,ইংরেজি-১,25712,
1st,20-03-2024,বৃহস্পতিবার,9:00 AM - 10:00 AM,ইলেকট্রিক্যাল টেকনোলজি,ইংরেজি-১,25712,
1st,20-03-2024,বৃহস্পতিবার,9:00 AM - 10:00 AM,মেকানিক্যাল টেকনোলজি,ইংরেজি-১,25712,
