Room No,Department,Roll
D-2,3/CST,872262
D-2,3/MT,872175
D-2,3/CST,872263
D-2,3/MT,872176
D-2,3/CST,872269
308,3/MT,872215
308,3/CST,871063
308,3/MT,872216
308,3/CST,871064
308,3/MT,872217
308,3/CST,871065
308,3/MT,872218
308,3/CST,871066
308,3/MT,872219
311,3/MT,872239
311,3/PT,871083
311,3/MT,872240
311,3/PT,871084
311,3/MT,873257
311,3/PT,871085
311,3/MT,676003
311,3/PT,871087
311,3/MT,676021
311,3/PT,676003
PHYSICS,3/MT,776151
PHYSICS,3/PT,871112
PHYSICS,3/MT,871147
PHYSICS,3/PT,871171
PHYSICS,3/MT,871150
PHYSICS,3/MT,871131
PHYSICS,3/PT,776154
PHYSICS,3/MT,871113
PHYSICS,3/PT,776157
PHYSICS,3/MT,871115
PHYSICS,3/PT,776159
PHYSICS,3/MT,871116
PHYSICS,3/PT,776160
PHYSICS,3/MT,871117
PHYSICS,3/PT,776163
PHYSICS,3/MT,871118
PHYSICS,3/PT,776170
201,3/PT,871886
201,3/MT,871913
201,3/PT,871898
201,3/MT,871181
201,3/MT,871887
201,3/PT,871182
201,3/MT,871888
201,3/PT,871184
201,3/MT,871889
201,3/PT,871185
COMMON,3/MT,871931
COMMON,3/MT,X
COMMON,3/MT,871936
COMMON,3/MT,871937
COMMON,3/MT,871939
COMMON,3/ENT,X
WWS,3/ET,100461
WWS,3/CT,101028
WWS,3/ET,100978
WWS,3/CT,105034
WWS,3/ET,101277
WWS,3/CT,106367
WWS,3/ET,101703
WWS,3/CT,106403
WWS,3/ET,103530
WWS,3/CT,106464
WWS,3/CT,107494
HEL,3/CST,107639
HEL,3/CT,107512
HEL,3/CST,107806
HEL,3/CT,107551
HEL,3/CST,107999
HEL,3/CT,107554
ADS,3/CST,107596
ADS,3/CT,608835
ADS,3/CST,110775
ADS,3/MT,106687
ADS,3/CT,114638
ADS,3/CST,110614
ADS,3/CT,609264
ADS,3/ENT,107520
ADS,3/CST,107621
ADS,3/CT,453317
ADS,3/CST,115167
ADS,3/PT,107581
ADS,3/MT,107053
ADS,3/ENT,105405
ADS,3/ENT,609259
ADS,3/CT,209881
ADS,3/CST,110026
ADS,3/CST,107705
ADS,3/CT,453185
ADS,3/ENT,X
ADS,3/ENT,214938
1006,7/ET,188894
1006,7/CT,188927
1006,7/ET,188895
1006,7/CT,188928
1006,7/ET,188896
1006,7/CT,188930
1006,7/ET,188897
1006,7/CT,188932
1006,7/ET,188898
1006,7/ET,188935
1006,7/CT,188899
1006,7/CT,X
1007,7/ET,675298
1007,7/CT,674954
1007,7/CT,674934
1007,7/CT,675268
1007,7/ET,674935
1007,7/ET,675269
1007,7/ET,675284
1007,7/CT,674952
1007,7/CT,674956
1007,7/ET,675299
1007,7/ET,674957
1007,7/ET,675300
1007,7/CT,674960
1007,7/ET,675301
1007,7/ET,675308
1007,7/CT,674967
1007,7/CT,674936
1007,7/CT,675273
1007,7/ET,674942
1007,7/CT,674937
1007,7/ET,675272
1007,7/CT,674949
1007,7/ET,675289
1007,7/CT,674965
1007,7/ET,675306
1007,7/CT,674963
1007,7/ET,675304
1007,7/CT,675271
1007,7/ET,674967
1010,7/CT,674969
1010,7/CT,675320
1010,7/ET,675333
1010,7/ET,675309
1010,7/ET,674972
1010,7/ET,675319
1010,7/ET,675312
1010,7/CT,674974
1010,7/ET,675314
1010,7/CT,674979
1010,7/CT,674993
1010,7/ET,675331
1010,7/CT,674991
1010,7/ET,675330
1010,7/CT,674988
1010,7/CT,674995
1010,7/ET,675335
1010,7/CT,674996
1010,7/CT,675000
1010,7/ET,675339
1010,7/CT,674999
1010,7/ET,675338
1010,7/CT,675336
1010,7/CT,674998
1010,7/ET,674975
1011,7/CT,675001
1011,7/ET,675352
1011,7/CT,675015
1011,7/ET,675361
1011,7/ET,675340
1011,7/CT,675014
1011,7/ET,675353
1011,7/CT,675021
1011,7/ET,675364
1011,7/CT,675027
1011,7/CT,675004
1011,7/ET,675351
1011,7/CT,675016
1011,7/ET,675359
1011,7/CT,675022
1011,7/ET,675377
1011,7/ET,675342
1011,7/CT,675010
1011,7/ET,675354
1011,7/CT,675020
1011,7/ET,675368
1011,7/CT,675026
1011,7/CT,675006
1011,7/ET,675350
1011,7/ET,675017
1011,7/CT,675023
1011,7/ET,675375
1011,7/CT,675344
1011,7/CT,675025
1011,7/ET,675008
1012,7/ET,675403
1012,7/CT,675039
1012,7/ET,675387
1012,7/CT,675030
1012,7/CT,675059
1012,7/ET,675405
1012,7/CT,675047
1012,7/ET,675388
1012,7/CT,675037
1012,7/ET,675378
1012,7/ET,675411
1012,7/CT,675048
1012,7/ET,675401
1012,7/CT,675032
1012,7/CT,675058
1012,7/ET,675410
1012,7/CT,675049
1012,7/ET,675400
1012,7/CT,675042
1012,7/ET,675379
1012,7/ET,675385
1012,7/CT,675033
1012,7/CT,675057
1012,7/CT,675407
1012,7/CT,675044
1012,7/ET,675395
1012,7/CT,675035
1012,7/ET,675383
1012,7/ET,675408
1012,7/CT,675034
2006,7/ET,675060
2006,7/CT,675413
2006,7/ET,675061
2006,7/CT,675416
2006,7/ET,675064
2006,7/CT,675417
2006,7/ET,675065
2006,7/CT,675418
2006,7/ET,675066
2006,7/CT,675419
2008,7/CT,675113
2008,7/CST,676045
2008,7/ET,675461
2008,7/CT,675122
2008,7/CST,188998
2008,7/CT,675131
2008,7/CT,675143
2008,7/CT,675114
2008,7/ET,675472
2008,7/CT,675124
2008,7/CST,676044
2008,7/CT,675132
2008,7/CST,676056
2008,7/CT,675462
2008,7/CST,675115
2008,7/CT,675463
2008,7/CST,675117
2008,7/CST,188997
2009,7/CST,675144
2009,7/CST,676057
2009,7/CT,675152
2009,7/CT,676067
2009,7/CST,675145
2009,7/CT,676059
2009,7/CST,675146
2009,7/CT,676062
2009,7/CST,675147
2010,7/CT,676109
2010,7/CST,676102
2010,7/CT,675176
2010,7/CT,675213
2010,7/CST,676110
2010,7/CT,675199
2010,7/CST,676093
2010,7/CST,676122
2010,7/CT,675202
2010,7/CST,675190
2010,7/CT,676104
2010,7/CT,675210
2010,7/CST,676111
2010,7/CST,676118
2010,7/CT,675205
2010,7/CT,675179
2010,7/CST,676094
2010,7/CT,676107
2010,7/CST,675208
2010,7/CT,676114
301,7/CT,675214
301,7/CST,676141
301,7/CT,675232
301,7/CST,676157
301,7/CST,676127
301,7/CT,675231
301,7/CST,676143
301,7/ENT,188959
301,7/CT,675218
301,7/CST,676140
301,7/CT,675233
301,7/CST,676156
301,7/CST,676128
301,7/CT,675230
301,7/CST,676146
301,7/CT,675241
301,7/CT,675219
301,7/CST,676138
301,7/CT,675234
301,7/CST,676155
301,7/CST,676132
301,7/CT,675229
301,7/CST,676147
301,7/CT,675240
301,7/CT,675221
301,7/CST,676137
301,7/CT,675235
301,7/CST,676154
301,7/CST,676134
301,7/CT,675228
301,7/CST,676148
301,7/CT,675239
301,7/CT,675227
301,7/CST,676136
301,7/CT,675237
301,7/CST,676151
304,7/CST,188961
304,7/ENT,676158
304,7/CST,188962
304,7/ENT,676159
304,7/CST,188964
304,7/ENT,676161
304,7/CST,190311
304,7/ENT,676162
304,7/CST,578525
D-1,7/CST,675512
D-1,7/ENT,676191
D-1,7/CST,675513
D-1,7/ENT,676192
D-1,7/CST,675517
D-1,7/ENT,676193
